       name       |  count  
 SEMIHA           |   41545
 CETIN            |   41314
 HACI             |   41229
 HASAN HUSEYIN    |   40810
 KIYMET           |   40794
 ENVER            |   40537
 SENAY            |   40507
 SEDA             |   40315
 TUBA             |   40078
 NILGUN           |   39921
 MEHTAP           |   39783
 SUAT             |   39722
 SERVET           |   39649
 SELDA            |   39503
 NIYAZI           |   39438
 BIRSEN           |   39142
 HATUN            |   39101
 IDRIS            |   38867
 DOGAN            |   38771
 TAHSIN           |   38726
 EYUP             |   38724
 HAMZA            |   38684
 SENOL            |   38617
 NESE             |   38484
 DUYGU            |   38409
 DAVUT            |   38153
 HAKKI            |   38079
 HAYDAR           |   37956
 MINE             |   37763
 ALIYE            |   37761
 NEJLA            |   37715
 SABRIYE          |   37461
 GULUZAR          |   37332
 SUZAN            |   37312
 ASLI             |   37306
 SAKINE           |   37245
 CUMA             |   37005
 CAFER            |   36918
 DONE             |   36816
 FEVZI            |   36383
 YELIZ            |   36257
 MEMET            |   36238
 GAMZE            |   35994
 RIZA             |   35727
 PAKIZE           |   35582
 GULHAN           |   35505
 HAYRETTIN        |   35225
 OKTAY            |   35111
 YALCIN           |   35025
 SEVIL            |   34596
 KAMILE           |   34419
 SONER            |   34394
 OZNUR            |   34370
 SEVKET           |   34336
 NURSEN           |   34313
 NEZAHAT          |   34299
 BURAK            |   34220
 AZIZE            |   34211
 TURGUT           |   34060
 UMMU             |   33963
 AYLA             |   33915
 NURSEL           |   33883
 HASIBE           |   33660
 ADIL             |   33366
 YUCEL            |   33163
 HAMIT            |   33156
 IZZET            |   33037
 SALIM            |   32999
 SAZIYE           |   32942
 SEVINC           |   32805
 SAIME            |   32746
 TANER            |   32718
 NURHAN           |   32663
 NAIME            |   32511
 KUBRA            |   32137
 FUAT             |   32010
 BETUL            |   31938
 UFUK             |   31915
 RIDVAN           |   31709
 HILAL            |   31436
 ADILE            |   31269
 SAIT             |   31228
 ALI RIZA         |   31197
 FUNDA            |   31115
 TAHIR            |   30965
 FAHRETTIN        |   30882
 HAMDI            |   30812
 FAHRI            |   30701
 TURGAY           |   30633
 FAHRIYE          |   30595
 ZULEYHA          |   30517
 SEFIKA           |   30309
 SAVAS            |   30118
 NILUFER          |   30084
 ERDEM            |   29952
 ZIYA             |   29903
 ELIFE            |   29883
 CEVDET           |   29857
 ZUHAL            |   29741
 UNAL             |   29586
 GULBAHAR         |   29334
 FIGEN            |   29009
 SEYHAN           |   28992
 ZEKERIYA         |   28944
 MEVLUDE          |   28936
 SABIHA           |   28514
 DURAN            |   28475
 GULIZAR          |   28235
 ERGUN            |   28208
 SERHAT           |   28158
 KASIM            |   28135
 MELTEM           |   28095
 DEMET            |   28092
 ALI OSMAN        |   28033
 FIDAN            |   28022
 DILBER           |   27972
 BEYHAN           |   27789
 GUL              |   27700
 SENEM            |   27655
 SINEM            |   27501
 RESUL            |   27496
 EDA              |   27484
 ILKER            |   27460
 NECMETTIN        |   27451
 SERIF            |   27416
 ONDER            |   27368
 MUHITTIN         |   27314
 DURDANE          |   27270
 CEM              |   27187
 OZGE             |   27155
 SELAMI           |   27120
 HIDAYET          |   27062
 SEBAHATTIN       |   26846
 YESIM            |   26761
 YAHYA            |   26738
 GULSAH           |   26703
 MUKADDES         |   26628
 SUHEYLA          |   26502
 FATIME           |   26426
 COSKUN           |   26337
 SAKIR            |   26293
 UMMUHAN          |   26256
 NECDET           |   26244
 SEREF            |   26137
 SEVAL            |   26107
 KEVSER           |   25992
 HILMI            |   25637
 SEVILAY          |   25583
 HUSNIYE          |   25579
 BEHIYE           |   25527
 NAZIM            |   25510
 MELIKE           |   25428
 UMUT             |   25386
 RIFAT            |   25380
 GUNAY            |   25371
 BIROL            |   25326
 KERIM            |   25281
 ASUMAN           |   25168
 BAHATTIN         |   25166
 ESME             |   25083
 SIDIKA           |   25081
 HUSNE            |   24913
 KUDRET           |   24827
 VESILE           |   24606
 NAZAN            |   24556
 IPEK             |   24464
 SERAFETTIN       |   24213
 RASIM            |   24190
 NECMIYE          |   24189
 KADER            |   24140
 OGUZ             |   23919
 NAZIRE           |   23917
 MUAZZEZ          |   23886
 ALI IHSAN        |   23830
 NIGAR            |   23799
 TEVFIK           |   23760
 AZIME            |   23522
 BAHRIYE          |   23439
 FIRDEVS          |   23395
 ULKU             |   23391
 SEYFETTIN        |   23346
 HUSNU            |   23310
 HALISE           |   23291
 ALPER            |   23106
 SATILMIS         |   23094
 SELIME           |   23072
 GULDANE          |   23051
 NURDAN           |   22995
 CUNEYT           |   22980
 OKAN             |   22943
 TOLGA            |   22928
 NAILE            |   22916
 MUHSIN           |   22701
 VILDAN           |   22690
 BAHRI            |   22665
