     name      |  count  |  id   
 HARUN         |   57482 | 57408
 NURI          |   57479 | 57435
 OZGUR         |   57139 | 57926
 IHSAN         |   56834 | 57156
 MUZEYYEN      |   56558 | 57879
 KAMIL         |   55768 | 57323
 FERHAT        |   55487 | 57642
 ABDULKADIR    |   54837 | 57277
 VELI          |   54730 | 57113
 HALIL IBRAHIM |   54446 | 58035
 HEDIYE        |   54444 | 57367
 ARIFE         |   53889 | 57503
 FARUK         |   53818 | 57150
 GULSEREN      |   53300 | 57420
 SABRI         |   52861 | 57719
 ZAFER         |   52825 | 57846
 ERDOGAN       |   52176 | 57786
 MELAHAT       |   51121 | 57115
 SAHIN         |   51058 | 57542
 AYSUN         |   51030 | 57232
 SADIYE        |   50921 | 57512
 SELIM         |   50856 | 57329
 ILYAS         |   50082 | 57500
 MUAMMER       |   49911 | 57649
 OZCAN         |   49539 | 57492
 TUNCAY        |   49532 | 57543
 HALIT         |   49365 | 57197
 FIKRET        |   49161 | 57633
 ZAHIDE        |   49135 | 57795
 NAZIFE        |   49080 | 58161
 BURCU         |   49031 | 57775
 BURHAN        |   48634 | 57083
 NIMET         |   48590 | 58352
 NESRIN        |   48520 | 57855
 VEYSEL        |   48501 | 57890
 LEVENT        |   48488 | 57410
 DUDU          |   48372 | 58562
 FIKRIYE       |   48188 | 57278
 BIRGUL        |   48146 | 57600
 ELMAS         |   47725 | 58367
 MEHMET EMIN   |   47562 | 57665
 CENNET        |   47470 | 57711
 NEVZAT        |   47009 | 57747
 MERVE         |   46707 | 57075
 ONUR          |   46374 | 57236
 SATI          |   46165 | 58395
 SELCUK        |   46039 | 57155
 REYHAN        |   45935 | 57287
 VEDAT         |   45883 | 58411
 SADIK         |   45855 | 57671
 AZIZ          |   45505 | 57661
 KEZBAN        |   45462 | 57188
 HAFIZE        |   45166 | 57111
 NURGUL        |   45094 | 57488
 SEBAHAT       |   44836 | 57202
 NEVIN         |   44817 | 57217
 NAZLI         |   44797 | 57587
 HABIBE        |   44735 | 58003
 RAZIYE        |   44579 | 57755
 NIHAL         |   44510 | 57212
 SAMI          |   43843 | 57214
 REMZI         |   43833 | 57177
 SUKRIYE       |   43769 | 57506
 BEDRIYE       |   43605 | 57909
 BARIS         |   43281 | 57653
 TURAN         |   43099 | 57607
 YAVUZ         |   43060 | 57722
 ERSIN         |   42919 | 57416
 SUNA          |   42895 | 58412
 LUTFIYE       |   42637 | 57114
 NEBAHAT       |   42464 | 57617
 BAHAR         |   42461 | 57122
 VOLKAN        |   42225 | 57940
 CIHAN         |   41748 | 57936
 OZKAN         |   41583 | 57648
 DURMUS        |   41572 | 58617
 SEMIHA        |   41545 | 57998
 CETIN         |   41314 | 57211
 HACI          |   41229 | 57597
 HASAN HUSEYIN |   40810 | 57526
 KIYMET        |   40794 | 57741
 ENVER         |   40537 | 57195
 SENAY         |   40507 | 57655
 SEDA          |   40315 | 57499
 TUBA          |   40078 | 58181
 NILGUN        |   39921 | 57468
 MEHTAP        |   39783 | 57333
 SUAT          |   39722 | 57954
 SERVET        |   39649 | 57241
 SELDA         |   39503 | 57470
 NIYAZI        |   39438 | 57194
 BIRSEN        |   39142 | 57257
 HATUN         |   39101 | 58331
 IDRIS         |   38867 | 57189
 DOGAN         |   38771 | 57076
 TAHSIN        |   38726 | 57433
 EYUP          |   38724 | 57456
 HAMZA         |   38684 | 57124
 SENOL         |   38617 | 57171
 NESE          |   38484 | 57444
 DUYGU         |   38409 | 57735
 DAVUT         |   38153 | 58039
 HAKKI         |   38079 | 57184
 HAYDAR        |   37956 | 57345
 MINE          |   37763 | 57894
 ALIYE         |   37761 | 57825
 NEJLA         |   37715 | 57958
 SABRIYE       |   37461 | 57409
 GULUZAR       |   37332 | 58388
 SUZAN         |   37312 | 58228
 ASLI          |   37306 | 57623
 SAKINE        |   37245 | 57725
 CUMA          |   37005 | 57483
 CAFER         |   36918 | 57699
 DONE          |   36816 | 57405
 FEVZI         |   36383 | 58273
 YELIZ         |   36257 | 57160
 MEMET         |   36238 | 57484
 GAMZE         |   35994 | 58063
 RIZA          |   35727 | 57676
 PAKIZE        |   35582 | 57624
 GULHAN        |   35505 | 57853
 HAYRETTIN     |   35225 | 57618
 OKTAY         |   35111 | 57605
 YALCIN        |   35025 | 57339
 SEVIL         |   34596 | 57902
 KAMILE        |   34419 | 57571
 SONER         |   34394 | 57706
 OZNUR         |   34370 | 57887
 SEVKET        |   34336 | 57644
 NURSEN        |   34313 | 57431
 NEZAHAT       |   34299 | 57814
 BURAK         |   34220 | 57094
 AZIZE         |   34211 | 57976
 TURGUT        |   34060 | 57387
 UMMU          |   33963 | 57986
 AYLA          |   33915 | 57112
 NURSEL        |   33883 | 57331
 HASIBE        |   33660 | 57200
 ADIL          |   33366 | 57239
 YUCEL         |   33163 | 57764
 HAMIT         |   33156 | 58269
 IZZET         |   33037 | 57129
 SALIM         |   32999 | 57358
 SAZIYE        |   32942 | 57546
 SEVINC        |   32805 | 57229
 SAIME         |   32746 | 57754
 TANER         |   32718 | 57478
 NURHAN        |   32663 | 57840
 NAIME         |   32511 | 57544
 KUBRA         |   32137 | 58844
 FUAT          |   32010 | 57507
 BETUL         |   31938 | 57635
 UFUK          |   31915 | 57693
 RIDVAN        |   31709 | 57513
 HILAL         |   31436 | 57383
 ADILE         |   31269 | 58462
 SAIT          |   31228 | 57629
 ALI RIZA      |   31197 | 57968
 FUNDA         |   31115 | 58443
 TAHIR         |   30965 | 58678
 FAHRETTIN     |   30882 | 57728
 HAMDI         |   30812 | 57336
 FAHRI         |   30701 | 57652
 TURGAY        |   30633 | 57495
 FAHRIYE       |   30595 | 58477
 ZULEYHA       |   30517 | 58450
 SEFIKA        |   30309 | 57812
 SAVAS         |   30118 | 58285
 NILUFER       |   30084 | 57949
 ERDEM         |   29952 | 57594
 ZIYA          |   29903 | 58172
 ELIFE         |   29883 | 58459
 CEVDET        |   29857 | 57848
 ZUHAL         |   29741 | 57688
 UNAL          |   29586 | 57761
 GULBAHAR      |   29334 | 57393
 FIGEN         |   29009 | 58020
